ID_REF,GSM992693,GSM992694,GSM992695,GSM992696,GSM992697,GSM992698,GSM992699,GSM992700,GSM992701,GSM992702,GSM992703,GSM992704,GSM992705,GSM992706,GSM992707,GSM992708,GSM992709,GSM992710
7892522,7.770757502,7.428449867,7.538934674,7.559769733,7.516101808,7.580551629,7.63954231,7.892140752,7.463494624,7.555202664,7.734010223,8.165806978,8.156133577,8.300390554,8.034763994,7.537826197,8.269808051,7.863298789
7892524,7.338777365,6.171102184,6.688699204,6.512648746,6.545957217,6.414470017,7.186833108,6.261055249,6.632379021,6.055982383,6.227513453,6.926175853,6.932066824,7.095083749,6.400767567,7.11195577,6.617171739,6.472929377
7892525,7.15696861,7.497404692,7.974324649,7.166917013,7.217557115,7.436688978,7.221521239,6.941885288,7.852621179,7.201946993,7.548424867,7.075734115,6.767725169,7.050514783,7.306699947,7.10172508,6.989689919,7.118097601
7892526,7.117565001,7.490427736,7.672534377,6.661827949,6.854675097,6.826648089,7.590183098,6.48024737,7.126050129,7.32355806,6.319701432,7.367322807,7.223010267,7.075900915,6.573330127,6.943889029,7.649818297,6.682834659
7892527,10.08024775,9.645008909,9.589857307,9.533559785,9.693122669,9.263642436,9.548036705,9.325571739,9.896911459,9.240821218,8.788679562,9.163106296,9.427058839,9.05499035,8.851591045,9.573049575,9.903081772,9.258225328
7892528,2.718116068,2.62133173,2.58589172,2.797192692,2.727657943,2.720573485,2.785160775,2.650590565,2.753822561,2.670412228,2.494380518,2.797962644,2.702477992,3.040391203,2.547317974,2.548411758,2.717844523,2.493790231
7892529,6.293015147,7.108391947,6.677376157,6.711085188,6.595227707,6.442693911,6.886064583,7.251592777,7.20150026,7.186076721,6.574862486,7.027128917,7.634704439,7.279047406,7.23767148,5.936560622,6.882234615,6.900954801
7892530,11.639336,11.71760749,11.76088168,11.72871071,12.03871226,11.54766016,11.65615824,11.64235766,11.89444154,11.57706289,11.79723279,11.33900711,11.54748853,11.65915982,11.56757342,11.97593016,11.55464198,12.00726662
7892531,7.90962178,7.523910888,8.072048894,8.014773357,8.078146483,8.014149323,7.985181393,7.9501669,8.414834516,7.204665352,6.980718791,7.768238235,8.051675716,8.150618988,7.465885262,7.325072945,8.221418359,7.431781579
7892532,3.579114275,3.712605645,4.14214476,3.300393592,3.34380934,3.695592281,3.604247242,3.364731159,3.317524146,4.262605352,3.726503309,3.632752522,3.322615533,3.898462348,3.070783146,3.748039075,3.332095241,3.174368881
7892533,7.69142752,7.870630706,8.164382214,8.028983884,8.101799806,7.489241517,7.746780898,8.355370086,7.808209136,7.873592566,7.548956278,7.664027962,8.181890476,8.077268307,7.958400321,6.983443806,8.407340505,7.836412168
7892534,5.418567275,5.193865094,4.94109974,5.500725544,5.449643099,5.268590973,5.542339843,5.396377466,5.287885785,6.222961107,5.907863836,5.731841642,6.114123791,6.334420604,6.065465213,5.543127936,5.812502867,5.989404181
7892535,6.820028113,6.587538279,6.011013656,7.448808015,7.27623997,6.368941572,7.035225227,6.141848868,6.430660877,6.477494558,6.414508052,6.365708992,5.998287922,5.839430705,7.149145631,6.895332897,7.008165228,6.600188643
7892537,3.857438695,3.721834422,3.689710472,3.645153901,5.076292242,4.520505023,4.881157694,3.823791448,5.146454439,3.514446176,3.446240915,3.934144353,3.773692314,4.578114565,3.821344467,3.797813699,3.674544576,4.239708119
7892538,5.040549485,6.124110306,5.636791301,5.600759711,6.090641971,5.01022523,5.725326868,5.061710977,5.188515482,5.741629627,4.894619478,5.817603241,5.440949469,5.952257848,4.858227516,6.167338761,5.832080505,5.843384801
7892539,6.133525366,5.752099001,6.523634667,6.368403261,5.94492022,5.63401227,6.512464001,5.378484784,6.034747111,6.031573374,5.724143037,5.425964134,5.560587184,6.111892533,5.59470267,5.061056169,6.350176331,5.824133305
7892540,5.040295573,5.342991874,4.856577221,5.361310396,5.799210283,4.317029808,5.399078613,5.371238736,6.559715032,5.719108515,4.645786777,5.917238986,5.848825982,5.238468555,4.990904702,5.601658047,5.643565419,6.290249669
7892541,8.927687675,8.431806776,9.302097346,8.958598788,8.587629248,8.853654305,9.77903307,8.632595093,8.632602905,8.520898447,8.770727006,9.103794846,8.997887178,8.493799244,8.279710492,8.991015436,9.604082393,9.094225583
7892542,9.563351618,9.392909093,9.641477181,9.671424277,9.293262653,9.187447333,9.218038469,8.998624012,9.317560582,9.147481353,8.25065154,9.270491292,8.866016911,9.204629083,9.132753784,8.64446325,8.632671106,9.157924914
7892543,5.742505876,6.333037559,6.237059578,5.776001358,5.468557548,5.559451187,5.798566506,5.440281668,5.526510663,5.672838579,6.053730892,5.542766168,5.660464962,5.394364083,5.470662082,5.511068346,5.498346764,6.483217952
